"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"fuyuyzqdht","romantic1","AI","Romantic",1,1,2,1,"Mental Health",-72
"fuyuyzqdht","romantic2","Human","Romantic",3,2,5,5,"Everyday / Trivial",-48
"fuyuyzqdht","trivial1","AI","Trivial",1,1,1,1,NA,71
"fuyuyzqdht","trivial2","Human","Trivial",1,1,1,1,NA,83
"gmxb51fhzq","mental1","Human","Mental",2,3,2,1,"Romantic",59
"gmxb51fhzq","mental2","AI","Mental",4,5,3,3,NA,-19
"gmxb51fhzq","romantic1","Human","Romantic",3,3,3,2,NA,-6
"gmxb51fhzq","romantic2","AI","Romantic",3,2,6,2,NA,58
"gmxb51fhzq","trivial1","AI","Trivial",3,4,3,3,"Mental Health",-100
"gmxb51fhzq","trivial2","Human","Trivial",2,4,3,2,NA,24
"gz5ayjloe7","mental1","Human","Mental",5,2,4,4,NA,44
"gz5ayjloe7","mental2","AI","Mental",5,4,6,3,NA,-100
"gz5ayjloe7","romantic1","Human","Romantic",4,2,1,3,"Romantic",80
"gz5ayjloe7","romantic2","AI","Romantic",1,5,2,2,NA,-100
"gz5ayjloe7","trivial1","Human","Trivial",3,3,1,3,NA,-100
"gz5ayjloe7","trivial2","AI","Trivial",4,2,3,3,"Mental Health",-100
"k11h56qs1x","mental1","AI","Mental",1,1,1,1,NA,-98
"k11h56qs1x","mental2","Human","Mental",5,5,5,5,"Mental Health",-74
"k11h56qs1x","romantic1","AI","Romantic",4,5,5,4,NA,-74
"k11h56qs1x","romantic2","Human","Romantic",1,1,1,1,NA,-84
"k11h56qs1x","trivial1","AI","Trivial",4,5,5,4,"Everyday / Trivial",-100
"k11h56qs1x","trivial2","Human","Trivial",5,6,5,5,NA,62
"kn01hgrxay","mental1","AI","Mental",3,4,4,3,NA,-30
"kn01hgrxay","mental2","Human","Mental",5,5,5,5,NA,50
"kn01hgrxay","romantic1","Human","Romantic",6,6,4,6,NA,40
"kn01hgrxay","romantic2","AI","Romantic",3,4,3,4,NA,-70
"kn01hgrxay","trivial1","Human","Trivial",4,5,2,2,"Romantic",-15
"kn01hgrxay","trivial2","AI","Trivial",4,3,3,4,"Everyday / Trivial",-70
"l04lx96u88","mental1","AI","Mental",3,2,2,1,NA,-49
"l04lx96u88","mental2","Human","Mental",3,3,4,3,NA,30
"l04lx96u88","romantic1","Human","Romantic",2,2,2,2,"Romantic",100
"l04lx96u88","romantic2","AI","Romantic",4,5,4,4,NA,-100
"l04lx96u88","trivial1","Human","Trivial",3,2,3,2,NA,-49
"l04lx96u88","trivial2","AI","Trivial",5,6,6,4,"Romantic",-100
"Maisie","mental1","AI","Mental",5,4,5,3,NA,48
"Maisie","mental2","Human","Mental",6,5,6,4,"Everyday / Trivial",52
"Maisie","romantic1","Human","Romantic",6,5,6,4,"Everyday / Trivial",57
"Maisie","romantic2","AI","Romantic",7,5,6,4,NA,44
"Maisie","trivial1","AI","Trivial",4,5,7,7,NA,62
"Maisie","trivial2","Human","Trivial",6,4,6,4,NA,61
"nf8kt96fw0","mental1","AI","Mental",2,1,1,1,NA,33
"nf8kt96fw0","mental2","Human","Mental",2,1,2,2,NA,-42
